max_drawdown,cvar_99,sharpe,lambda,var_99,ann_turnover,final_wealth,estimator,policy,alpha,strategy,ann_volatility,var_95,ulcer_index,n_rebalances,cvar_95,ann_return,band,sortino
0.2602066502289064,0.017746958720808,0.4832562973745326,0.001,0.013341369367073579,0.07593304402864966,2.2219374170661563,LW,BANDS,0.0,MINVAR,0.07498919585108826,0.007445473378739481,0.07268721816641516,1,0.0113388527373417,0.054433553236032474,0.1,0.6356878114982227
0.17225628867197892,0.01553762786069857,0.42404657695103276,0.0,0.010836361195973088,0.3877968407223526,1.896325235906849,LW,MONTHLY,0.0,MINVAR,0.0593411501915604,0.005573478301476257,0.045026655158343545,187,0.008967185186331675,0.0433579637170102,0.0,0.5339277007667941
0.17207504158103665,0.015281206255635223,0.46411724678090743,0.0,0.009850799780808262,0.19854396591958368,1.9579110280600358,TYLER,BANDS,0.0,MINVAR,0.058372128885737985,0.005500052585070067,0.044596977462992515,31,0.008721805955020288,0.04528606385313091,0.02,0.5828033838784737
0.2379204361307941,0.018333598897818867,0.5763221982702628,0.001,0.012360597597241259,0.07257958081201882,2.4022267806264623,TYLER,BANDS,0.0,MINVAR,0.07112021727531308,0.006742625691185346,0.06082790635852865,1,0.010922185124597137,0.05918271206750906,0.1,0.7209141915480731
0.19141786736245645,0.01572130924459364,0.45872293064670583,0.0,0.010764446252577222,0.5004522058624706,1.9739553505796654,LW,BANDS,0.95,MINCVAR,0.060891725271384964,0.005861549056342145,0.04971642871196078,34,0.009175728594137803,0.0461269827745657,0.05,0.584635299848309
0.1901288710775911,0.01569010655259772,0.44500358740720464,0.0,0.010865051189999437,0.572114032826883,1.9445784984514274,LW,BANDS,0.95,MINCVAR,0.06067408587046499,0.005885904894230903,0.04864857847879749,64,0.009160494593771624,0.045194737980951624,0.02,0.5666589684915184
0.18512865352694888,0.016240035578490082,0.4223536926139637,0.0003,0.011221531367812187,0.47312683373485165,1.9269454634162946,LW,MONTHLY,0.99,MINCVAR,0.06266325645487071,0.005981455645797601,0.049500334402452786,90,0.009467752742117225,0.04466060986087233,0.0,0.5399702773895411
0.18443196087686992,0.015576071758789688,0.4744554188344636,0.001,0.011086871996457958,0.23958940988949104,2.0070282862093762,LW,MONTHLY,0.95,MINCVAR,0.060822947983320226,0.005776039289921734,0.04794394040617889,114,0.009068908662138987,0.0470523293661149,0.0,0.6086335963789054
0.15976465249080266,0.015846266784919762,0.5087955807698978,0.0,0.01082280048303224,0.17245682557580444,2.067419537625602,LW,BANDS,0.0,MINVAR,0.06036910820045428,0.005715414456951817,0.04300693361434812,5,0.009151328724397,0.04891008757335284,0.1,0.6397266452947777
0.2600785746422941,0.01772343799742705,0.4811915356808851,0.001,0.0133650109220846,0.07581520288796016,2.2155429996324805,HUBER,BANDS,0.0,MINVAR,0.07491415637125415,0.007434398518007903,0.07275558987054769,1,0.01132575768642421,0.054242610054463646,0.05,0.6331339520000834
0.2602066502289064,0.017746958720808,0.4832562973745326,0.0003,0.013341369367073579,0.07593304402864966,2.2219374170661563,LW,BANDS,0.0,MINVAR,0.07498919585108826,0.007445473378739481,0.07268721816641516,1,0.0113388527373417,0.054433553236032474,0.02,0.6356878114982227
0.2379204361307941,0.018333598897818867,0.5763221982702628,0.0003,0.012360597597241259,0.07257958081201882,2.4022267806264623,TYLER,BANDS,0.0,MINVAR,0.07112021727531308,0.006742625691185346,0.06082790635852865,1,0.010922185124597137,0.05918271206750906,0.02,0.7209141915480731
0.2379204361307941,0.018333598897818867,0.5763221982702628,0.0003,0.012360597597241259,0.07257958081201882,2.4022267806264623,TYLER,BANDS,0.0,MINVAR,0.07112021727531308,0.006742625691185346,0.06082790635852865,1,0.010922185124597137,0.05918271206750906,0.05,0.7209141915480731
0.16276910888947196,0.016149175577356362,0.5242891865902991,0.0003,0.011028446603123184,0.20364256268291067,2.115090713055478,LW,BANDS,0.95,MINCVAR,0.06164649044820507,0.005864669053966584,0.043687318791154436,5,0.009296900961455695,0.05051514043917799,0.1,0.6588320592286231
0.2600785746422941,0.01772343799742705,0.4811915356808851,0.001,0.0133650109220846,0.07581520288796016,2.2155429996324805,HUBER,BANDS,0.0,MINVAR,0.07491415637125415,0.007434398518007903,0.07275558987054769,1,0.01132575768642421,0.054242610054463646,0.1,0.6331339520000834
0.18942406029383632,0.01561824992891316,0.43770284390791514,0.0,0.01095625510062503,0.6747843349962788,1.925836640701842,LW,MONTHLY,0.95,MINCVAR,0.06032955463374566,0.005781170895291246,0.04872730883381755,145,0.009100440920525246,0.04460096974083032,0.0,0.5576712514177392
0.23792049225108305,0.018333647556685335,0.5763247491737741,0.0003,0.012360602543937105,0.07257962024164719,2.4022359579967163,TYLER,BANDS,0.0,MINVAR,0.07112034604369671,0.006742625680010219,0.06082785638424274,1,0.010922206404120274,0.05918296770072744,0.1,0.7209171459238296
0.1814021557000201,0.016416555867172174,0.4315594378613031,0.0,0.011328192139254276,0.6908277071690844,1.946743075469295,LW,BANDS,0.99,MINCVAR,0.06324036704757449,0.0060043917908126025,0.04702547960281679,48,0.009546109247621077,0.04548652935913562,0.02,0.552196130176637
0.17010722646097062,0.01582552778091546,0.45649107442628695,0.0,0.010692258895660988,0.3154505929337637,1.9608601510994907,LW,BANDS,0.0,MINVAR,0.059844331712953114,0.005658732672986073,0.04427400589588544,41,0.009044972131014548,0.04551295538791099,0.02,0.5712661397900723
